dataset,sample_id,meeting_id,speaker,noise_type,snr_db,reference_text,pred_text,wer,avg_logprob,no_speech_prob,compression_ratio,label_3class,hallucination_binary,annotator_id,notes
librispeech_fallback,ls_0000__clean,,unknown,clean,,THE OTHER VOICE SNAPPED WITH A HARSH URGENCY CLEARLY USED TO COMMAND,"The other voice snapped with a harsh urgency, clearly used to command.",1.0,-0.24677775887882,0.0037613117601722,0.9722222222222222,Non-Hallucination Error,no_hallucination,,
librispeech_fallback,ls_0000__white_10dB,,unknown,white,10.0,THE OTHER VOICE SNAPPED WITH A HARSH URGENCY CLEARLY USED TO COMMAND,"the other voice snapped with a harsh urgency, clearly used to command.",1.0,-0.3408897904788746,0.0163866430521011,1.0,Non-Hallucination Error,no_hallucination,,
librispeech_fallback,ls_0000__pink_10dB,,unknown,pink,10.0,THE OTHER VOICE SNAPPED WITH A HARSH URGENCY CLEARLY USED TO COMMAND,"The other voice snapped with a harsh urgency, clearly used to command.",1.0,-0.2641421766842113,0.0056313318200409,0.9722222222222222,Non-Hallucination Error,no_hallucination,,
librispeech_fallback,ls_0000__babble_10dB,,unknown,babble,10.0,THE OTHER VOICE SNAPPED WITH A HARSH URGENCY CLEARLY USED TO COMMAND,"The other voice snapped with a harsh urgency, clearly used to command.",1.0,-0.3289613162769991,0.0266451351344585,0.9722222222222222,Non-Hallucination Error,no_hallucination,,
librispeech_fallback,ls_0001__clean,,unknown,clean,,WHERE IS THAT,Where is that?,1.0,-0.500528267451695,0.021470908075571,0.6363636363636364,Non-Hallucination Error,no_hallucination,,
librispeech_fallback,ls_0001__white_10dB,,unknown,white,10.0,WHERE IS THAT,Where is that?,1.0,-0.4734684399196079,0.0207639895379543,0.6363636363636364,Non-Hallucination Error,no_hallucination,,
librispeech_fallback,ls_0001__pink_10dB,,unknown,pink,10.0,WHERE IS THAT,Where is that?,1.0,-0.4824363844735281,0.0224622152745723,0.6363636363636364,Non-Hallucination Error,no_hallucination,,
librispeech_fallback,ls_0001__babble_10dB,,unknown,babble,10.0,WHERE IS THAT,Where is that?,1.0,-0.4607198578970773,0.0192283634096384,0.6363636363636364,Non-Hallucination Error,no_hallucination,,
librispeech_fallback,ls_0002__clean,,unknown,clean,,OH NO I'M QUITE SURE HE DIDN'T,"Oh no, I'm quite sure he didn't.",1.0,-0.2452484709875924,0.0140021760016679,0.8,Non-Hallucination Error,no_hallucination,,
librispeech_fallback,ls_0002__white_10dB,,unknown,white,10.0,OH NO I'M QUITE SURE HE DIDN'T,"Oh no, I'm quite sure he didn't.",1.0,-0.2916233198983328,0.1492895781993866,0.8,Non-Hallucination Error,no_hallucination,,
